Bloco de Linhas,Bloco Pré-processado,Sentimento
"Esmagando os vermes, quebrando e falindo cassinos Eu vou sair pra descolar um qualquer Meu pivete já conta pá amanhã no café Se o crime é uma doença, eu conheço infecção","esmag verm , quebr fal cassin vou sair pra descol qualqu pivet cont pá amanhã café crim doenç , conheç infecç",Negativo
"Nem por isso eu sou 'pá' no plano de ninguém, Jão 1 por amor 2 por dinheiro","'pá ' plan ninguém , jão 1 am 2 dinh",Negativo
3 pela África 4 pros parceiro Que estão na guerra sem medo de errar,3 áfric 4 pro parc guerr med err,Negativo
Quem quiser falar Só Deus pode julgar 10 cadeiras numa mesa de mármore 10 nego em volta falando assim,quis fal deu pod julg 10 cade mes mármor 10 neg volt fal assim,Neutro
"Mil pra você, mil pra mim O que? Mil pra você, mil pra mim Tem mais?","mil pra , mil pra mim ? mil pra , mil pra mim ?",Neutro
"Mil pra você, mil pra mim E o meu mil pra você, mil pra mim Doidão, tá firmão? Tá feliz? No sapatinho?","mil pra , mil pra mim mil pra , mil pra mim doid , tá firm ? tá feliz ? sapat ?",Neutro
"Aí sim (ei) Não vai deixar seu pivete ao léu Na mão de um cara pálida de topete e gel, sensacional Ei, ei","aí sim ( ei ) vai deix pivet léu mão car pál topet gel , sensac ei , ei",Negativo
Nego aqui quem fala é o vatsom do momento DJ Nel via satélite mantendo o clima quente Até nas quartas feiras cinzas da vida Ei quebrada eu vejo seus olhos tristes tentando ver a luz,neg aqu fal vatsom moment dj nel via satélit mant clim quent quart feir cinz vid ei quebr vej olh trist tent ver luz,Neutro
Este som é funk E a frase do dia é (ei) as palavras nunca voltam vazias 1 por amor,som funk fras dia ( ei ) palavr nunc volt vaz 1 am,Neutro
"2 pelo dinheiro Vida loca, capão de fé, sou guerreiro 1 por amor 2 pelo dinheiro","2 dinh vid loc , cap fé , guerr 1 am 2 dinh",Neutro
"Vida loca, capão de fé, sou guerreiro Ih esses mano aí de bombeta branca e vinho Agitando a festa e chega no bolinho","vid loc , cap fé , guerr ih man aí bombet branc vinh agit fest cheg bol",Neutro
"Respeita doidão, aí, não fala assim Bolinho pra você é família pra mim Veja bem escuta a natu O espírito sou o louco da zona sul","respeit doid , aí , fal assim bol pra famíl pra mim vej bem escut natu espírit louc zon sul",Neutro
Eu vivo a reali vou superar A missão do sofredor é se adiantar É quente ah é quente quente Vale das virtudes é nós no pente,viv real vou super miss sofr adiant quent ah quent quent val virtud pent,Neutro
"Já era boyzão, cê sabe como é O bagulho tá doido cê tem um qualquer Mãe e irmão, irmã e sobrinho se o dinheiro constar","boy , cê sab bagulh tá doid cê qualqu mãe irm , irmã sobr dinh const",Negativo
"Eu não gasto sozinho, ei camarada a cara é correr A quebrada é sofrida Eu também fazer o que? Dinheiro no bolso, Deus no coração, família unida","gast so , ei camar car corr quebr sofr faz ? dinh bols , deu coraçã , famíl unid",Neutro
"Champanhe pros irmão, amor pela mãe, ocupa o meu tempo Um coração puro quanto mundo enfermo Não há nada na vida que o amor não supere O mundão desandou ei você não se entrege","champanh pro irm , am mãe , ocup temp coraçã pur quant mund enf nad vid am sup mund desand ei entreg",Neutro
"Olha ao seu redor a expansão do terror Apocalipse já que o profeta pregou Você trai por amor ao luxo o dinheiro agora, sem dor nem escrúpulo","olh redor expans terr apocalips profet preg tr am lux dinh agor , dor escrúpul",Negativo
"Ei, ouve o que a rima fala Entre a compra e a venda o pecado se estala Certo tio é o neguinho que tá na cena Vida loca família jardim rosana é arena","ei , ouv rim fal compr vend pec estal cert tio negu tá cen vid loc famíl jardim rosan aren",Negativo
"Vindo do emprego e meio ao robocop de golf é facinho sumir no inocoop Zé polvinho registra, tem coxinha na porta Pode me acionar que tem QSJ Rosana bronks lealdade primeiro","vind empreg mei robocop golf fac sum inocoop zé polv registr , cox port pod acion qsj rosan bronk lealdad prim",Neutro
1 por amor 2 por dinheiro De um lado as de 100 do outro as de 50,1 am 2 dinh lad 100 outr 50,Neutro
"Fusão leste sul que tal representa em plena mateo bei De 900 zera sentido Zona Sul, a rapa me espera Aqui ninguém quer fama e diz que diz 4 mil dólar já me faz feliz","fusã lest sul tal represent plen mate bei 900 zer sent zon sul , rap esper aqu ninguém qu fam diz diz 4 mil dól faz feliz",Neutro
"Dinheiro, city, capital da gozolândia Malandro bom não humilha e não desanda Liga o outro mano o da mil e cem Né? Pagando no capão é que mais","dinh , city , capit gozolând malandr bom humilh desand lig outr man mil cem né ? pag cap",Neutro
Tem de Audi ou citroen Já disse o brow um role pela fundão é fundamental Quem é quem diz que diz,aud citroen diss brow rol fund fundament diz diz,Neutro
"Buchicho não me faz feliz Vida alheia, ora bola Minha cota eu quero em dólar Na periferia tem uma pá com disposição","buchich faz feliz vid alhe , ora bol cot quer dól perif pá dispos",Neutro
Atrás do cifrão só vai quem tem o dom Jogue a moeda pra ver no que vai dar coroa negativa A cara é comigo Com ele lá em cima,atrás cifr vai dom jog moed pra ver vai dar coro nega car comig lá cim,Neutro
"Eu não estou sozinho Deus esta trilhando pode crer o meu caminho Vou que vou, vou pra decidir Estou de pé, não vou cair","so deu trilh pod cr caminh vou vou , vou pra decid pé , vou cair",Neutro
Mas que nada eu vou fazer minha caminhada Encontrar com os irmãos na quebrada Satisfeito sou sujeito com respeito bato no peito 171 furado aqui não compra ninguém,nad vou faz caminh encontr irm quebr satisfeit sujeit respeit bat peit 171 fur aqu compr ninguém,Neutro
"Corromper a minha mente ai nem Vem sai fora nem cola (Ih, demora)","corromp ment ai vem sai col ( ih , dem )",Negativo
"1 por amor 2 por dinheiro Na selva é assim E você vale o que tem, vale o que tem","1 am 2 dinh selv assim val , val",Neutro
"Na mão, na mão 1 por amor 2 por dinheiro Na selva é assim","mão , mão 1 am 2 dinh selv assim",Neutro
"E você vale o que tem, vale o que tem Na mão, na mão 1 por amor","val , val mão , mão 1 am",Neutro
"2 por dinheiro Na selva é assim E você vale o que tem, vale o que tem Na mão, na mão","2 dinh selv assim val , val mão , mão",Neutro
Vida loca é só quem é Bom guerreiro de fé Todo amor pros parceiro Liberdade e dinheiro,vid loc bom guerr fé tod am pro parc liberdad dinh,Neutro
Quem é quem diz Que diz que diz Buchicho não me faz feliz,diz diz diz buchich faz feliz,Negativo
"Vida alheia, ora bola Minha cota eu quero em dólar Você vale o que tem (minha cara) Você vale o que tem (minha cara)","vid alhe , ora bol cot quer dól val ( car ) val ( car )",Neutro
Você vale o que tem Você vale o que tem Nós é mato,val val mat,Negativo
12 de outubro de 2001 Dia das Criança Várias festa espalhada na periferia No Parque Santo Antônio hoje teve uma festa,12 outubr 2001 dia crianç vár fest espalh perif parqu sant antôni hoj fest,Neutro
"Foi bancada pela irmandade, uma organização Tavam confeccionando roupa lá no Parque Santo Antônio lá Lutando Remando contra a maré","banc irmandad , organiz tav confeccion roup lá parqu sant antôni lá lut rem contr maré",Neutro
"Mas tá lá tá firme Tinha umas 300 pessoa No, na festa das criança Comida, música","tá lá tá firm uma 300 pesso , fest crianç com , músic",Neutro
"Tinha um grupo de rap de uma menininha de 10 ano Cantando muito Aí saímo de lá voado E fomo numa otra quermesse de rua também,","grup rap menin 10 ano cant aí saím lá vo fom otr querm rua ,",Neutro
Na Vila Santa Catarina Lá do outro lado da Zona Sul Quase no Centro E chegamo lá A festa num tinha começando ainda,vil sant catarin lá outr lad zon sul quas centr cheg lá fest começ aind,Neutro
"Aí no caminho passamo por uma favela assim E trombamo com uns molequinho jogando bola e tal E começamo a provocar ""Ei moleque, ce é santista, tal.""","aí caminh pass favel assim tromb um molec jog bol tal começ provoc `` ei molequ , ce sant , tal . ''",Negativo
"""Não, eu sou corintiano."" Eu falei ""Ei, Marcelinho vai 'rebentar vocês."" Os moleque vinho naquela idéia de jogo","`` , corinti . '' fal `` ei , marcel vai 'rebent . '' molequ vinh naquel idé jog",Neutro
"Daí eu comecei a pesar do lado dos moleque ""E aí, mano, e aí, tá estudando e tal."" Aí o moleque falou assim ""Ih, esse aqui hoje xingou a mãe dele.""","daí comec pes lad molequ `` aí , man , aí , tá estud tal . '' aí molequ fal assim `` ih , aqu hoj xing mãe . ''",Negativo
"Aí eu falei assim ""Porque você xingou sua mãe?"" ""Ah, porque..."" Não, nem foi isso, ele falou assim","aí fal assim `` porqu xing mãe ? '' `` ah , porqu ... '' , , fal assim",Negativo
"Eu falei ""Ganhou, vocês ganharam presente?"" Eu perguntei Num foi não, Neto","fal `` ganh , ganh pres ? '' pergunt , net",Neutro
"""Vocês ganharam presente?"" Aí ele falou ""Ganhei foi um tapa na cara hoje."" Aí eu falei",`` ganh pres ? '' aí fal `` ganh tap car hoj . '' aí fal,Neutro
"""Porque você tomou um tapa na cara?"" ""Ah, minha mãe deu um tapa na minha cara, foi isso que eu ganhei, não ganhei presente não."" Falou assim, ó, bem convicto mermo Aí eu falei assim","`` porqu tom tap car ? '' `` ah , mãe deu tap car , ganh , ganh pres . '' fal assim , ó , bem convict merm aí fal assim",Negativo
"""Porque você tomou um tapa na cara?"" ""Ah, porque eu xinguei ela."" ""Ma', porque você xingou ela?"" ""Ah, lógico, todo mundo ganhou presente e eu não ganhei porque?""","`` porqu tom tap car ? '' `` ah , porqu xing . '' `` ma ' , porqu xing ? '' `` ah , lógic , tod mund ganh pres ganh porqu ? ''",Negativo
"Aí eu fiquei pensando, né mano Como uma coisa gera a outra Isso gera um ódio O moleque com 10 ano, pô","aí fiq pens , né man cois ger outr ger ódi molequ 10 ano , pô",Negativo
"Tomar um tapa na cara No dia das criança Eu fico pensando Quantas morte, quantas tragédia","tom tap car dia crianç fic pens quant mort , quant tragéd",Negativo
"em família, o governo já não causou Com a incompetência Com a falta de humanidade Quantas pessoas num morrero","famíl , govern caus incompet falt human quant pesso morrer",Negativo
"De frustração, de desgosto Longe do pai, longe da mãe Dentro de cadeia Por culpa da incompetência desses daí","frustr , desgost long pai , long mãe dentr cade culp incompet dess daí",Negativo
Entendeu Que fala na televisão Fala bonito Come bem,entend fal televis fal bonit com bem,Neutro
"Forte, gordo Viaja bastante Tenta chamar os gringo aqui 'pa dentro Enquanto os próprio brasileiro tão aí, ó jogado","fort , gord viaj bast tent cham gring aqu 'pa dentr enquant própri brasil tão aí , ó jog",Neutro
"No mundão Do jeito que o mundão vier Sem nenhum plano tra, traçado Sem trajetória nenhuma","mund jeit mund vi nenhum plan tra , traç trajetór nenhum",Negativo
"Vivendo a vida Só E o moleque era mó revolta, vai vendo Moleque revolta","viv vid molequ mó revolt , vai vend molequ revolt",Negativo
"E ele tava friozão Jogando bola lá, tal Como se nada tivesse acontecido Ali marcou pra ele","tav fri jog bol lá , tal nad acontec ali marc pra",Negativo
Talvez ele tenha se transformado numa outra pessoa aquele dia Vai vendo o barato Dia das criança,talv transform outr pesso dia vai vend barat dia crianç,Neutro
500 anos o Brasil é uma vergonha Polícia fuma pedra moleque fuma maconha Dona cegonha entrega mais uma princesa Mais uma boca com certeza que vem a mesa,500 ano brasil vergonh políci fum pedr molequ fum maconh don cegonh entreg princes boc cert vem mes,Negativo
"Onde cabe 1,2 cabe 3 A dificuldade entra em cena outra vez Enquanto isso playboy folgado, anda assustado, Deve tá pagando algum erro do passado.","ond cab 1,2 cab 3 dificuldad entr cen outr vez enquant playboy folg , and assust , dev tá pag algum err pass .",Negativo
"Assaltos, seqüestros, é so o começo A senzala aviso, o Mauricinho hoje paga o preço, Sem adereço desconto ou perdão Quem tem vida decente não precisa usa o oitão..","assalt , seqüestr , so começ senzal avis , mauric hoj pag preç , adereç descont perd vid decent precis usa oit ..",Negativo
(Telefonema) É doutor seu Titanic afundou Quem ontem era a caça Hoje pah é o predador,( telefonem ) dou titanic afund ont caç hoj pah pred,Negativo
Que cansou de ser o ingênuo humilde e pacato Encapuço viro bandido E não dexa barato Se ataco e foi pra rua buscar,cans ingênu humild pacat encapuç vir band dex barat atac pra rua busc,Negativo
Confere se não tá abrindo O seu frigobar na sala de estar Assistindo um DVD Com a sua esposa de refém,conf tá abr frigob sal assist dvd esp refém,Neutro
Esperando você Quer sair do compensado e Ir pra uma mansão Com piscina digna de um patrão,esper qu sair compens ir pra mans piscin dign patrã,Neutro
Com vários cão de guarda rotivailler Me da uma socialite de favela Estilo cali Quer jantar com cristal e talheres de prata,vári cão guard rotivaill socialit favel estil cal qu jant crist talh prat,Neutro
Comprar 20 pares de sapato gravata Possuir igual a você Tenho fucker 100 tem também na garagem 2 Mercedes Bens,compr 20 par sapat gravat possu igual fuck 100 gar 2 merced bem,Neutro
Voar de helicóptero há beira mar Armani e Hugo Boss no guarda - roupa Pra variar Presentear a mulher com brilhantes,vo helicópter beir mar arman hug bos guard - roup pra vari present mulh brilh,Neutro
Uma gargantilha 18 pra amante Como agravante a ostentação O que ele sonha ate então ta na sua mão De desempregado a homem de negócios,gargantilh 18 pra am agrav ostent sonh ate ent ta mão desempreg hom negóci,Neutro
Pulou o muro e já era Agora ando de sócio Foi a escolha que eu fiz,pul mur agor and sóci escolh fiz,Neutro
"Agora o sangue que escorre não apaga, não é giz Eu vacilei, não olhei Tinha um pé ali atrás no balcão quando enquadrei Entrei suando, era a deixa","agor sang escorr apag , giz vacil , olh pé ali atrás balc enquadr entr su , deix",Negativo
"Cada, cada preju, o seu é a queixa Eu me fodi de verdade, se pá não vai dá Não vou ver nem as grades","cad , cad preju , queix fod verdad , pá vai dá vou ver grad",Negativo
"Que merda é essa que eu fiz Eu não ouvi o meu parceiro como eu ouço o juiz, infeliz Respire fundo, otário Violento e desnecessário","merd fiz ouv parc ouç juiz , infeliz resp fund , otári violent desnecess",Negativo
"Dói pra caralho e agora não é hora de rezar e brisar Louco, deixa de história! Tem que ser homem, ladrão Mesmo sendo massacrado no chão, né não?","dói pra caralh agor hor rez bris louc , deix histór ! hom , ladr send massacr chã , né ?",Negativo
"Pelo barulho da moto Aquele filho da puta me deixou feio na foto Volto, com a prova do crime na mão","barulh mot filh put deix fei fot volt , prov crim mão",Negativo
"Mano, tô precisando de mais um pulmão Com vinte anos apenas, nunca dei orgulho Só acumulo problemas Tema ao menos, nós tem ninguém","man , tô precis pulm vint ano apen , nunc dei orgulh acumul problem tem menos , ninguém",Negativo
"Se eu for pro túmulo é o mínimo que se espera de alguém No chão por alguns reais Missão de risco, ousadia, sabia, mas fui incapaz","pro túmul mín esper alguém chã algum real miss risc , ousad , sab , incapaz",Neutro
"De ter a calma, planejar o esquema Agora jaz, não dá mais, sou refém do sistema Pela sirene fudeu Arrancaram o capacete, um povinho me reconheceu","ter calm , planej esquem agor jaz , dá , refém sistem siren fud arranc capacet , pov reconhec",Negativo
"Cuspe na cara, chute, algema Pior que bicho, lixo arrastado, mó cena Se o Datena filmar e a minha estrela brilhar Eu morro feliz, vilão vagabundo","cusp car , chut , algem pi bich , lix arrast , mó cen daten film estrel brilh morr feliz , vil vagabund",Negativo
"Foda-se o que esse porco diz João era um pivete com pensamentos subliminares, queria ter dinheiro jatinho para viajar nos ares um lugar onde","foda-s porc diz joã pivet pens sublimin , quer ter dinh jat viaj are lug ond",Neutro
"tudo é lindo você vê a favela sorrindo sem a violência e com a paz esse mundo ate pro joao se satifaz mas esse pensamento é o mais dificil de ele conseguir a mae drogada o pai bebado vishi, coitado do moleque só","tud lind vê favel sorr viol paz mund ate pro joa satifaz pens dificil consegu mae drog pai beb vish , coit molequ",Negativo
13 anos de idade na merda da sua cabeça só tem maldade que ironia esse fato se ocorreu o moleque no inferno sobreviveu com a morte a fome e a porra da miséria fazer o que essa á a vida na favela.... onde todo,13 ano idad merd cabeç maldad iron fat ocorr molequ infern sobreviv mort fom porr misér faz á vid favel .... ond tod,Negativo
mundo tem desgosto da vida aprecia a pistola no crime a vida bandida chega das profecias feitas pelo governo tão pouco se importando com os outro morrendo o q interessa pra eles é só ter a sua grana aparecer na tv,mund desgost vid apreci pistol crim vid band cheg profec feit govern tão pouc import outr morr q interess pra ter gran aparec tv,Negativo
"e ter muita fama ha isso me prejudica as vezes tenho vontade de morrer pela minha vida, mas o joao ja é diferente gosta de pensamentos bons não é doente igual os vacilao que pensa que é sangue bom mas só se","ter muit fam ha prejud vez vontad morr vid , joa ja difer gost pens bom doent igual vacila pens sang bom",Negativo
importam com o ibope na cadeia pra matar chama logo o choque com suas fardas e seus escudos pronto pra arrebentar tudo mas não me iludo com essa partilhação só resolvo os meus problemas com a paz irmão e a fé,import ibop cade pra mat cham log choqu fard escud pront pra arrebent tud ilud partilh resolv problem paz irm fé,Negativo
que eu tenho no coração... um cartação que é do Joao agora cresceu e virou ladrão com uma glock para roubar varios carros forte se sair muito bem na vida do crime roubar o shopping os manequim da vitrine,coraçã ... cart joa agor cresc vir ladr glock roub vari carr fort sair bem vid crim roub shopping manequim vitrin,Negativo
"e sair nas moralidade fazer o que se só na cabeça do joão só tem maldade ""Madrugada de domingo em São Paulo...""",sair moral faz cabeç joã maldad `` madrug doming paul ... '',Negativo
"""O show da virada cultural terminou em meio a uma gigantesca confusão Foi a apresentação do grupo de rap Racionais Mc's"" ""Racionais..."" ""Racionais Mc's...""",`` show vir cult termin mei gigantesc confus apresent grup rap racion mc 's '' `` racion ... '' `` racion mc 's ... '',Negativo
"""Foi na praça da Sé, uma verdadeira praça de guerra..."" ""Bombas de efeito moral e balas de borracha..."" ""Desesperadas, as pessoas tentavam fugir do confronto"" ""Vem pra cá... Vem pra cá""","`` praç sé , verd praç guerr ... '' `` bomb efeit moral bal borrach ... '' `` desesper , pesso tent fug confront '' `` vem pra cá ... vem pra cá ''",Negativo
"""Quer dizer, a polícia não poderia ter evitado?"" ""Até que ponto o uso de bala de borracha e gás lacrimogênio não acaba aumentando a confusão?"" ""Tem que pensar com inteligência. O cara tem que ter inteligência, certo?","`` qu diz , políci pod ter evit ? '' `` pont uso bal borrach gás lacrimogêni acab aument confus ? '' `` pens intelig . car ter intelig , cert ?",Negativo
"Essa correria de um lado pro outro só vai machucar as pessoas"" Uma faísca, uma fagulha, uma alma insegura Uma arma na cintura, o sangue na moldura","corr lad pro outr vai machuc pesso '' faísc , fagulh , alm inseg arm cint , sang mold",Negativo
"Uma farda, uma armadura Um disfarce, uma ditadura Um gás lacrimogênio e algema não é a cura, é luxúria Uma censura tentaram e desistiram","fard , armad disfarc , ditad gás lacrimogêni algem cur , luxúr cens tent desist",Negativo
"Pularam atrás da porta, filmaram e assistiram Pediram o nosso fim, forjaram uma lei pra mim Tiraram o nosso foco dos bloco e o estopim Tentaram eliminar, pensaram em manipular","pul atrás port , film assist ped fim , forj lei pra mim tir foc bloc estopim tent elimin , pens manipul",Negativo
"Tentaram, não bloquearam a força da África Chamaram a Força Tática, Choque, a Cavalaria Polícia despreparada, violência em demasia!","tent , bloque forç áfric cham forç tátic , choqu , caval políci desprepar , viol demas !",Negativo
"Mississípi em chamas, sou fogo na Babilônia Tragédia, vida real, com a mão de um animal Brutal com os inocentes, crianças, velhos, presentes Ação inconsequente, covarde e desleal","mississíp cham , fog babilôn tragéd , vid real , mão animal brut inoc , crianç , velh , pres açã inconsequ , cov desleal",Negativo
"Os moleque com pedra e pau Polícia com fuzil, bomba, carro pegando fogo Porta de aço, tromba, a mãe que chama o filho Enquanto toma um tiro, alguém perdeu alguém","molequ pedr pau políci fuzil , bomb , carr peg fog port aço , tromb , mãe cham filh enquant tom tir , alguém perd alguém",Negativo
"A alma no gatilho, fugi para o metrô Tumulto no corredor, pisotearam alguém Que ali mesmo ficou, nas ruas adjacentes A cena era presente, destruição e guerra","alm gatilh , fug metrô tumult corr , pisote alguém ali fic , rua adjac cen pres , destru guerr",Negativo
"O mundo que desabou, ho! ""05h30 da manhã e a polícia ainda encontrava dificuldades pra controlar a multidão"" ""A praça da Sé parece nesse momento uma praça de guerra","mund desab , ho ! `` 05h30 manhã políci aind encontr dificuldad pra control mult '' `` praç sé parec ness moment praç guerr",Negativo
"Muito vidro quebrado pelo chão e lixo espalhado por todo lado"" ""11 pessoas foram presas e quatro ficaram feridas"" ""A prefeitura vai assumir todas as suas responsabilidades... E dará todo apoio as pessoas que tiveram algum dano relacionado ao incidente""",vidr quebr chã lix espalh tod lad '' `` 11 pesso pres quatr fic fer '' `` prefeit vai assum tod respons ... dar tod apoi pesso algum dan relacion incid '',Negativo
"""Os Racionais..."" Moro num lugar cheio de ""Mauricinho"" metido a engracadinho vestindo roupa big procurando moral As mina daqui é tudo paga pau...",`` racion ... '' mor lug chei `` mauric '' met engrac vest roup big procur moral min daqu tud pag pau ...,Negativo
A vida e dura mais não pode chora dia após dia é só esperar Esses caras daqui metido a ladrãozinho mais na verdade é tudo mauricinho Se liga maluco nós aqui é nega da favela terror da playboyzada,vid dur pod chor dia após dia esper car daqu met ladrã verdad tud mauric lig maluc aqu neg favel terr playboyz,Negativo
"Faltou respeito com nós vai subir o morro na porrada O Rap é minha Vida, o breck e Minha dança, Hip Hop é o movimento que aprendi desde criança..","falt respeit vai sub morr porr rap vid , breck danç , hip hop mov aprend desd crianç ..",Negativo
Cada dia que passa morre mais um que se acha na bnk Malandro de verdade vê e se espanta Não posso fazer nada aviso é o que nao falta Agente aqui se da valor mano,cad dia pass morr ach bnk malandr verdad vê espant poss faz nad avis nao falt agent aqu val man,Negativo
Sem chance cara sem chance mané Volta pra casa se não leva bronca da mamãe né?!,chanc car chanc mané volt pra cas lev bronc mamã né ? !,Negativo
Se liga maluco nós aqui é nega da favela terror da playboyzada Faltou respeito com nos vai subi o morro na porrada,lig maluc aqu neg favel terr playboyz falt respeit vai sub morr porr,Negativo
"O Rap é minha Vida, o breck e Minha dança, Hip Hop é o movimento que aprendi desde criança.. Sempre fui sonhador, é isso que me mantém vivo Quando pivete, meu sonho era ser jogador de futebol, vai vendo","rap vid , breck danç , hip hop mov aprend desd crianç .. sempr sonh , mantém viv pivet , sonh jog futebol , vai vend",Neutro
"Mas o sistema limita nossa vida de tal forma Que tive que fazer minha escolha: Sonhar ou sobreviver Os anos se passaram e eu fui me esquivando do ciclo vicioso Porém, o capitalismo me obrigou a ser bem sucedido","sistem limit vid tal form faz escolh : sonh sobreviv ano pass esquiv cicl vici porém , capit obrig bem suced",Negativo
Acredito que o sonho de todo pobre é ser rico Em busca do meu sonho de consumo Procurei dar uma solução rápida e fácil pros meus problemas: O crime,acredit sonh tod pobr ric busc sonh consum procur dar soluç rápid fácil pro problem : crim,Neutro
"Mas é um dinheiro amaldiçoado Quanto mais eu ganhava, mais eu gastava Logo fui cobrado pela lei da natureza, vish 14 anos de reclusão","dinh amaldiço quant ganh , gast log cobr lei natur , vish 14 ano reclus",Negativo
"Barato é loco, barato é loco É necessário sempre acreditar que o sonho é possível Que o céu é o limite e você, truta, é imbatível","barat loc , barat loc necess sempr acredit sonh possível céu limit , trut , imbat",Neutro
"Que o tempo ruim vai passar, é só uma fase Que o sofrimento alimenta mais a sua coragem Que a sua família precisa de você Lado a lado se ganhar pra te apoiar se perder","temp ruim vai pass , fas sofr aliment corag famíl precis lad lad ganh pra apoi perd",Negativo
"Falo do amor entre homem, filho e mulher A única verdade universal que mantém a fé Olho as crianças que é o futuro e esperança Que ainda não conhecem, não sentem o que é ódio e ganância","fal am hom , filh mulh únic verdad univers mantém fé olh crianç futur esperanç aind conhec , sent ódi ganânc",Neutro
"Eu vejo o rico que teme perder a fortuna Enquanto o mano desempregado, viciado, se afunda Falo do enfermo, (irmão) falo do são (então) Falo da rua que pra esse louco mundão","vej ric tem perd fortun enquant man desempreg , vici , afund fal enf , ( irm ) fal ( ent ) fal rua pra louc mund",Negativo
"Que o caminho da cura pode ser a doença Que o caminho do perdão às vezes é a sentença Desavença, treta e falsa união A ambição é como um véu que cega os irmão","caminh cur pod doenç caminh perd vez sentenç desavenç , tret fals uni amb véu ceg irm",Negativo
"Que nem um carro guiado na estrada da vida Sem farol no deserto das trevas perdidas Eu fui orgia, ébrio, louco, mas hoje ando sóbrio Guardo o revólver quando você me fala em ódio","carr gui estr vid farol desert trev perd org , ébri , louc , hoj and sóbri guard revólv fal ódi",Negativo
"Eu vejo o corpo, a mente, a alma, o espírito Ouço o repente e o que diz lá no canto lírico Falo do cérebro e do coração Vejo egoísmo, preconceito de irmão pra irmão","vej corp , ment , alm , espírit ouç repent diz lá cant líric fal cérebr coraçã vej egoísm , preconceit irm pra irm",Negativo
"A vida não é o problema, é batalha, desafio Cada obstáculo é uma lição, eu anuncio É isso aí, você não pode parar","vid problem , batalh , desafi cad obstácul liç , anunci aí , pod par",Neutro
Esperar o tempo ruim vir te abraçar Acreditar que sonhar sempre é preciso É o que mantém os irmãos vivos,esper temp ruim vir abraç acredit sonh sempr precis mantém irm viv,Neutro
"Várias famílias, vários barracos Uma mina grávida E o mano tá lá trancafiado Ele sonha na direta com a liberdade","vár famíl , vári barrac min gráv man tá lá trancafi sonh diret liberdad",Neutro
"Ele sonha em um dia voltar pra rua longe da maldade Na cidade grande é assim Você espera tempo bom e o que vem é só tempo ruim No esporte, no boxe ou no futebol","sonh dia volt pra rua long maldad cidad grand assim esper temp bom vem temp ruim esport , box futebol",Neutro
"Alguém sonhando com uma medalha o seu lugar ao sol, porém Fazer o que se o maluco não estudou 500 anos de Brasil e o Brasil aqui nada mudou Desesperô aí, cena do louco","alguém sonh medalh lug sol , porém faz maluc estud 500 ano brasil brasil aqu nad mud desesperô aí , cen louc",Negativo
"Invadiu o mercado farinhado armado e mais um pouco Isso é reflexo da nossa atualidade Esse é o espelho derradeiro da realidade Não é areia, conversa, xaveco","invad merc farinh arm pouc reflex atual espelh derr real are , convers , xavec",Neutro
"Porque o sonho de vários na quebrada é abrir um boteco Ser empresário não dá, estudar nem pensar Tem que trampar ou ripar pros irmãos sustentar Ser criminoso aqui é bem mais prático","porqu sonh vári quebr abr botec empres dá , estud pens tramp rip pro irm sustent crimin aqu bem prát",Neutro
